time/ka,W/m^2
-1871,483.425938
-1870,477.046283
-1869,468.729401
-1868,460.550356
-1867,452.657541
-1866,447.10195
-1865,443.281401
-1864,441.809183
-1863,442.438435
-1862,444.889752
-1861,448.947214
-1860,454.133959
-1859,460.505359
-1858,467.926635
-1857,476.284922
-1856,485.873477
-1855,494.877462
-1854,504.113378
-1853,510.555464
-1852,513.757688
-1851,511.799733
-1850,504.017833
-1849,491.583437
-1848,476.539629
-1847,461.09281
-1846,447.149297
-1845,436.02181
-1844,428.661016
-1843,424.628876
-1842,423.696714
-1841,425.272474
-1840,428.801623
-1839,433.799698
-1838,440.646169
-1837,448.425672
-1836,457.342561
-1835,467.716934
-1834,478.339721
-1833,488.232995
-1832,497.00848
-1831,501.757754
-1830,502.303505
-1829,498.114755
-1828,489.663362
-1827,478.816982
-1826,468.110655
-1825,457.815559
-1824,450.184292
-1823,445.45878
-1822,443.178878
-1821,443.306395
-1820,445.325553
-1819,448.950574
-1818,453.694678
-1817,459.285299
-1816,465.228169
-1815,471.984097
-1814,478.901071
-1813,485.603225
-1812,491.594175
-1811,496.676082
-1810,499.81387
-1809,500.565989
-1808,498.802961
-1807,494.749319
-1806,488.575679
-1805,481.023989
-1804,473.357147
-1803,465.511234
-1802,458.778632
-1801,453.119423
-1800,448.952479
-1799,446.016582
-1798,444.342966
-1797,443.807452
-1796,444.282504
-1795,445.615712
-1794,447.529908
-1793,449.957098
-1792,452.882855
-1791,456.121535
-1790,459.601961
-1789,463.008542
-1788,466.674199
-1787,470.123762
-1786,473.570588
-1785,476.707187
-1784,479.54023
-1783,481.922638
-1782,483.662902
-1781,484.683747
-1780,484.695148
-1779,483.903228
-1778,481.985681
-1777,478.93367
-1776,475.509031
-1775,471.416606
-1774,467.266006
-1773,463.258123
-1772,460.09725
-1771,457.789084
-1770,456.523485
-1769,456.406644
-1768,457.409106
-1767,459.749828
-1766,462.938864
-1765,467.476268
-1764,472.448548
-1763,478.463882
-1762,484.647956
-1761,490.425662
-1760,495.157856
-1759,497.48588
-1758,496.81394
-1757,492.680461
-1756,484.949681
-1755,474.048583
-1754,462.512164
-1753,450.63333
-1752,440.878642
-1751,433.377019
-1750,428.679163
-1749,426.945668
-1748,427.741463
-1747,430.897157
-1746,435.790198
-1745,442.389252
-1744,450.479548
-1743,459.913535
-1742,471.02681
-1741,482.006809
-1740,493.129418
-1739,502.336889
-1738,508.497682
-1737,509.954554
-1736,506.156795
-1735,498.121862
-1734,486.515239
-1733,473.745644
-1732,462.31421
-1731,452.709538
-1730,445.645828
-1729,441.65663
-1728,440.200468
-1727,441.024333
-1726,443.878822
-1725,448.090215
-1724,453.526882
-1723,460.426127
-1722,467.652408
-1721,475.249724
-1720,483.652787
-1719,489.935353
-1718,494.957015
-1717,496.753252
-1716,495.174419
-1715,490.397071
-1714,482.604181
-1713,473.648935
-1712,464.503367
-1711,456.18433
-1710,449.786196
-1709,444.94111
-1708,442.494702
-1707,441.88742
-1706,443.246492
-1705,446.278754
-1704,450.520251
-1703,455.686607
-1702,461.696013
-1701,467.912547
-1700,473.825566
-1699,478.971087
-1698,482.842721
-1697,485.193482
-1696,486.128603
-1695,485.678319
-1694,484.234623
-1693,482.36425
-1692,480.101146
-1691,477.791932
-1690,475.908034
-1689,474.067035
-1688,472.831916
-1687,471.635402
-1686,470.973873
-1685,470.392789
-1684,470.066726
-1683,469.778374
-1682,469.308584
-1681,468.404232
-1680,466.517432
-1679,464.450147
-1678,462.053862
-1677,459.942274
-1676,457.967774
-1675,456.507243
-1674,455.521688
-1673,455.213885
-1672,455.646258
-1671,456.816605
-1670,458.742209
-1669,461.305105
-1668,464.39129
-1667,468.151862
-1666,471.793548
-1665,475.370102
-1664,478.21292
-1663,479.795722
-1662,479.80503
-1661,477.86772
-1660,474.614711
-1659,470.798441
-1658,466.550146
-1657,462.975902
-1656,460.470705
-1655,459.191561
-1654,459.006505
-1653,460.017062
-1652,462.21742
-1651,465.033454
-1650,468.834808
-1649,473.306618
-1648,477.868927
-1647,483.211239
-1646,487.959785
-1645,492.179648
-1644,495.123511
-1643,495.947942
-1642,494.035317
-1641,489.171144
-1640,481.87703
-1639,473.131805
-1638,464.098944
-1637,455.817988
-1636,449.094603
